,Tweet
55,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
56,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
57,RT @chilo_donah: #Eliud159 All the best Eliud Kipchoge. I believe that you'll make the impossible possible. https://t.co/HoTz1vX1BC
58,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
59,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
60,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
61,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
62,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
63,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
64,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
65,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
66,RT @EdwinSigey_: Endurance against the principle of Speed V's Time. Long live the resilient Kenyan Spirit in Eliud Kipchoge Long Live !! 💪…
67,"OMG😀 Watch these Kids Till the End 🤣🤣 #INEOS159
#EliudKipchogeINEOSChallenge  come back we have already broke the r… https://t.co/3CzgWGmsfT"
68,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
69,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
70,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
71,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
72,"RT @Jimmywanjigi1: I just called #eliudkipchoge . So this was the deal .

If he wins the @INEOS159  challenge  then I have to buy him a pri…"
73,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
74,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
75,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
76,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
77,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
78,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
79,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
80,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
81,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
82,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
83,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
84,RT @FerdyOmondi: Eliud Kipchoge had better break this record. I don't remember Kenyans being this optimistic and unified since the 2002 ele…
85,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
86,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
87,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
88,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
89,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
90,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
91,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
92,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
93,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
94,"#Eliud159
There are three levels: 
 1: Easy one  
 2: Medium one  
 3: Eliud Kipchoge"
95,"Vienna Friends! On Saturday, Eliud Kipchoge is going to attempt to be the first person to run a marathon in under t… https://t.co/kDQUULMCgG"
96,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
97,"MPESA logo changed for the next 7 days 👌😎😇
For the first time in 12 years safaricom Mpesa logo changes in support o… https://t.co/q4w1LJipCB"
98,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
99,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
100,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
101,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
102,"RT @TheDukeOfJM1: INEOS 1:59 CHALLENGE;

I leave you with the words of the legend himself Eliud Kipchoge:

“In life, the idea is to be happ…"
103,"RT @WebianAgency: We offer #Efficient Clearing &amp; F  by:
√Offering excellent #CustomerService
√#Prompt Clearance of Vehicles
√Upholding #int…"
104,"INEOS 1:59 CHALLENGE;

I leave you with the words of the legend himself Eliud Kipchoge:

“In life, the idea is to b… https://t.co/XeUy09mlh8"
105,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
106,"RT @Kakamega_pundit: I feel so happy and emotional watching this. Naskia ni brother ya Eliud kipchoge

Team 🇰🇪 https://t.co/M808N2EZ9U"
107,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
108,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
109,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
110,"RT @NNRunningTeam: Eliud Kipchoge started his INEOS 1:59 journey in April, read how he has been preparing himself for this challenge: https…"
111,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
112,"#INEOS159  #Eliud159 #ineos159challenge #NoHumanIsLimited Best wishes to the Greatest Of All Time, Eliud Kipchoge,… https://t.co/Es6XmUPMil"
113,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
114,RT @DavidLaney12: If you want to get even more psyched for this weekends @INEOS159 and become an even bigger fan of @EliudKipchoge here is…
115,"RT @kiruti: For Eliud Kipchoge to do 1:59 on a 42.195km course, he needs to go at an average of 5.91 m/s minimum (21.276 km/hr). I really h…"
116,RT @RealOwinopaul: @wakihanya @pauldaviddavies @KabukaMax @Clownstafarae @_dreen_ @Itsmadokaa @jdrizzy254 @mwangi_rayan @levyce @DavisWispe…
117,RT @RealOwinopaul: @wakihanya @pauldaviddavies @KabukaMax @Clownstafarae @_dreen_ @Itsmadokaa @jdrizzy254 @mwangi_rayan @levyce @DavisWispe…
118,"RT @StandardKenya: World marathon record holder Eliud Kipchoge has left the country for the Ineos 1:59 Challenge in Vienna, Austria

Let's…"
119,RT @RealOwinopaul: @wakihanya @pauldaviddavies @KabukaMax @Clownstafarae @_dreen_ @Itsmadokaa @jdrizzy254 @mwangi_rayan @levyce @DavisWispe…
120,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
121,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
122,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
123,"RT @ntvkenya: #NoHumanIsLimited! It's happening this Saturday, live on NTV! 

Watch every step as Eliud Kipchoge strives to shatter the #IN…"
124,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
125,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
126,@ItsBravin Without someone bumping into your inbox with 'btw eliud kipchoge amefanya? '🙄🙄
127,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
128,"RT @EnochCheruiyot5: The only competitive for Eliud #Kipchoge ,,determined to defeat himself yesterday, today and here you are unsuccessful…"
129,You Kenyan leaders are here putting to much pressure on Eliud Kipchoge yet you can't withstand accountability press… https://t.co/gTxV1giMVC
130,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
131,"RT @HonKathambi: Eliud Kipchoge You are a Legend, I wish you all the Best at Vienna, Austria.....
No human is Limited. You can Do it again.…"
132,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
133,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
134,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
135,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
136,"RT @Propesaa: LIVE UPDATES FROM AUSTRIA 🇦🇹 VIENNA INEOS 159 CHALLENGE. Eliud Kipchoge
#eliudkipchoge #ineos159challenge
Full video  https:/…"
137,"RT @AthleticsWeekly: Eliud Kipchoge's date with destiny...
If the two-hour barrier for the marathon falls on Saturday, it won’t be an offic…"
138,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
139,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
140,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
141,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
142,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
143,RT @KResearcher: It is amazing how the World has accepted that it is next to impossible to beat Eliud Kipchoge. So the guy is out here chas…
144,[PHOTOS] Eliud Kipchoge's first day in Vienna ahead of #Ineos1:59 challenge https://t.co/fhN9pVAVEH
145,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
146,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
147,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
148,"RT @Jo_Kimoney: Men you should take the 1hr.59mins challenge. Sex tonight should last the same duration. Musimame na Eliud Kipchoge😂
#eliud…"
149,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
150,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
151,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
152,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
153,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
154,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
155,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
156,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
157,"Vienna, Austria.#ineos159challenge course.""
World marathon record holder Eliud Kipchoge trains on the INEOS 1:59 Ch… https://t.co/FpoJMB43cf"
158,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
159,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
160,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
161,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
162,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
163,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
164,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
165,RT @Snduhukire: Eliud THE BEAST Kipchoge - the man on a mission to be the first HUMAN to run a 42km marathon in less than 2hrs. @EliudKipch…
166,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
167,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
168,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
169,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
170,RT @21QuestionsKE: Do you think Eliud Kipchoge will be able to run the marathon race under 2 hrs? #ineos159challenge #INEOS159 #IneosChalle…
171,RT @johnnjenga: There is something that Kenya Airways missed that Safaricom did not. Imagine if Kenya's superb pilots flew Eliud to Vienna…
172,"RT @StandardKenya: Eliud Kipchoge will try to run a marathon in less than 2hrs in Vienna, Austria!  

Share any story on breaking barriers…"
173,RT @wacuka_: Eliud Kipchoge is so lovable. Like. You just love him from the moment he starts speaking. ❤️
174,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
175,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
176,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
177,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
178,Daily Nation ke - Confirmed: Day for Eliud Kipchoge's INEOS 1:59 Challenge https://t.co/kZ2nWP9gqo https://t.co/E6UqZHWnIs
179,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
180,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
181,"RT @Jimmywanjigi1: I just called #eliudkipchoge . So this was the deal .

If he wins the @INEOS159  challenge  then I have to buy him a pri…"
182,"RT @KKombani: I am withdrawing this criticism, in recognition of the fact that @dailynation has featured other stories on Eliud Kipchoge. H…"
183,"RT @Jimmywanjigi1: I just called #eliudkipchoge . So this was the deal .

If he wins the @INEOS159  challenge  then I have to buy him a pri…"
184,RT @KOT_Loyals: Eliud Kipchoge is a testimony to the fact that one person can unite all Kenyans irrespective of ethnicity. All we need is s…
185,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
186,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
187,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
188,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
189,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
190,@INEOS159 Eliud kipchoge keep going u can do this we are behind u 🐐
191,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
192,If ELIUD KIPCHOGE manages to break his own world 🌍record by attaining 1:49:00....  this is a little knowledge his s… https://t.co/Oynrv6yA3j
193,If eliud Kipchoge manages to break his own world 🌍record by attaining 1:49:00....  this is a little knowledge his s… https://t.co/UDz2ry3IjZ
194,RT @itvnews: Eliud Kipchoge is about to attempt something no human has ever done before; he's going to try to run the length of a marathon…
195,If ELIUD KIPCHOGE manages to break his own world 🌍record by attaining 1:49:00....  this is a little knowledge his s… https://t.co/MmIGr7H1lw
196,"RT @wacuka_: I’ve just watched the Breaking2 documentary special and fam. Eliud Kipchoge is really something else. His work ethic, his disc…"
197,"RT @samirasawlani: A good time to re-read:

""Only the disciplined ones in life are free. If you are undisciplined, you are a slave to your…"
198,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
